timestamp,frame_x,frame_y,world_x_m,world_y_m,world_x_smooth_m,world_y_smooth_m,time_elapsed
1777126903.1860642,1294,295,0.0011,0.0042,0.0011,0.0042,0.000
1777126903.4633017,1294,295,0.0011,0.0042,0.0011,0.0042,0.277
1777126903.6096416,1294,295,0.0011,0.0042,0.0011,0.0042,0.424
1777126903.7174232,1294,295,0.0011,0.0042,0.0011,0.0042,0.531
1777126903.805313,1294,295,0.0011,0.0042,0.0011,0.0042,0.619
1777126903.8834891,1294,295,0.0011,0.0042,0.0011,0.0042,0.697
1777126903.969585,1294,295,0.0011,0.0042,0.0011,0.0042,0.784
1777126904.0528977,1294,295,0.0011,0.0042,0.0011,0.0042,0.867
1777126904.1373253,1294,295,0.0011,0.0042,0.0011,0.0042,0.951
1777126904.2206292,1294,295,0.0011,0.0042,0.0011,0.0042,1.035
1777126904.3268437,1294,295,0.0011,0.0042,0.0011,0.0042,1.141
1777126904.4314349,1294,295,0.0011,0.0042,0.0011,0.0042,1.245
1777126904.5333505,1294,295,0.0011,0.0042,0.0011,0.0042,1.347
1777126904.6414936,1294,295,0.0011,0.0042,0.0011,0.0042,1.455
1777126904.7355886,1294,295,0.0011,0.0042,0.0011,0.0042,1.550
1777126904.8083808,1294,295,0.0011,0.0042,0.0011,0.0042,1.622
1777126904.8805456,1294,295,0.0011,0.0042,0.0011,0.0042,1.694
1777126904.9509852,1294,295,0.0011,0.0042,0.0011,0.0042,1.765
1777126905.0236766,1294,295,0.0011,0.0042,0.0011,0.0042,1.838
1777126905.098443,1294,295,0.0011,0.0042,0.0011,0.0042,1.912
1777126905.1661196,1294,295,0.0011,0.0042,0.0011,0.0042,1.980
1777126905.2495859,1294,295,0.0011,0.0042,0.0011,0.0042,2.064
1777126905.3278909,1294,295,0.0011,0.0042,0.0011,0.0042,2.142
1777126905.413634,1294,295,0.0011,0.0042,0.0011,0.0042,2.228
1777126905.489346,1294,295,0.0011,0.0042,0.0011,0.0042,2.303
1777126905.566772,1294,295,0.0011,0.0042,0.0011,0.0042,2.381
1777126905.6546443,1294,295,0.0011,0.0042,0.0011,0.0042,2.469
1777126905.7555187,1294,295,0.0011,0.0042,0.0011,0.0042,2.569
1777126905.847188,1294,295,0.0011,0.0042,0.0011,0.0042,2.661
1777126905.9366405,1294,295,0.0011,0.0042,0.0011,0.0042,2.751
1777126906.0201757,1294,295,0.0011,0.0042,0.0011,0.0042,2.834
1777126906.0913265,1294,295,0.0011,0.0042,0.0011,0.0042,2.905
1777126906.160333,1294,295,0.0011,0.0042,0.0011,0.0042,2.974
1777126906.2417068,1294,295,0.0011,0.0042,0.0011,0.0042,3.056
1777126906.3147142,1294,295,0.0011,0.0042,0.0011,0.0042,3.129
1777126906.3861485,1294,295,0.0011,0.0042,0.0011,0.0042,3.200
1777126906.4539678,1294,295,0.0011,0.0042,0.0011,0.0042,3.268
1777126906.5288715,1294,295,0.0011,0.0042,0.0011,0.0042,3.343
1777126906.5988667,1294,295,0.0011,0.0042,0.0011,0.0042,3.413
1777126906.6700354,1294,295,0.0011,0.0042,0.0011,0.0042,3.484
1777126906.7467942,1294,295,0.0011,0.0042,0.0011,0.0042,3.561
1777126906.8261611,1294,295,0.0011,0.0042,0.0011,0.0042,3.640
1777126906.900672,1294,295,0.0011,0.0042,0.0011,0.0042,3.715
1777126906.9734704,1294,295,0.0011,0.0042,0.0011,0.0042,3.787
1777126907.0484111,1294,295,0.0011,0.0042,0.0011,0.0042,3.862
1777126907.1178033,1294,295,0.0011,0.0042,0.0011,0.0042,3.932
1777126907.1890578,1294,295,0.0011,0.0042,0.0011,0.0042,4.003
1777126907.261243,1294,295,0.0011,0.0042,0.0011,0.0042,4.075
1777126907.3321457,1294,295,0.0011,0.0042,0.0011,0.0042,4.146
1777126907.407282,1294,295,0.0011,0.0042,0.0011,0.0042,4.221
1777126907.4827294,1294,295,0.0011,0.0042,0.0011,0.0042,4.297
1777126907.5593474,1294,295,0.0011,0.0042,0.0011,0.0042,4.373
1777126907.6323586,1294,295,0.0011,0.0042,0.0011,0.0042,4.446
1777126907.7037642,1294,295,0.0011,0.0042,0.0011,0.0042,4.518
1777126907.8105,1294,295,0.0011,0.0042,0.0011,0.0042,4.624
1777126907.9162862,1294,295,0.0011,0.0042,0.0011,0.0042,4.730
1777126908.0020175,1294,295,0.0011,0.0042,0.0011,0.0042,4.816
1777126908.0789115,1294,295,0.0011,0.0042,0.0011,0.0042,4.893
1777126908.1512825,1294,295,0.0011,0.0042,0.0011,0.0042,4.965
1777126908.2227697,1294,295,0.0011,0.0042,0.0011,0.0042,5.037
1777126908.3030598,1294,295,0.0011,0.0042,0.0011,0.0042,5.117
1777126908.3798425,1294,295,0.0011,0.0042,0.0011,0.0042,5.194
1777126908.4495392,1294,295,0.0011,0.0042,0.0011,0.0042,5.263
1777126908.5175352,1294,295,0.0011,0.0042,0.0011,0.0042,5.331
1777126908.5907774,1294,295,0.0011,0.0042,0.0011,0.0042,5.405
1777126908.6592107,1294,295,0.0011,0.0042,0.0011,0.0042,5.473
1777126908.7318652,1294,295,0.0011,0.0042,0.0011,0.0042,5.546
1777126908.8066964,1294,295,0.0011,0.0042,0.0011,0.0042,5.621
1777126908.8758345,1294,295,0.0011,0.0042,0.0011,0.0042,5.690
1777126908.9479008,1294,295,0.0011,0.0042,0.0011,0.0042,5.762
1777126909.0649786,1294,295,0.0011,0.0042,0.0011,0.0042,5.879
1777126909.1470807,1294,295,0.0011,0.0042,0.0011,0.0042,5.961
1777126909.224039,1294,295,0.0011,0.0042,0.0011,0.0042,6.038
1777126909.2973056,1294,295,0.0011,0.0042,0.0011,0.0042,6.111
1777126909.3712192,1294,295,0.0011,0.0042,0.0011,0.0042,6.185
1777126909.438073,1294,295,0.0011,0.0042,0.0011,0.0042,6.252
1777126909.5099957,1294,295,0.0011,0.0042,0.0011,0.0042,6.324
1777126909.5917022,1294,295,0.0011,0.0042,0.0011,0.0042,6.406
1777126909.6612406,1294,295,0.0011,0.0042,-0.0053,-0.0029,6.475
1777126909.7338166,1294,295,0.0011,0.0042,0.0203,0.0254,6.548
1777126909.8066506,1293,295,0.0757,0.0868,0.0565,0.0656,6.621
1777126909.8817048,1293,295,0.0757,0.0868,0.0821,0.0939,6.696
1777126909.95081,1293,295,0.0757,0.0868,0.0757,0.0868,6.765
1777126910.026505,1293,295,0.0757,0.0868,0.0757,0.0868,6.840
1777126910.0976832,1293,295,0.0757,0.0868,0.0757,0.0868,6.912
1777126910.168399,1293,295,0.0757,0.0868,0.0757,0.0868,6.982
1777126910.2465236,1293,295,0.0757,0.0868,0.0757,0.0868,7.060
1777126910.320908,1293,295,0.0757,0.0868,0.0757,0.0868,7.135
1777126910.3937428,1293,295,0.0757,0.0868,0.0757,0.0868,7.208
1777126910.4686978,1293,295,0.0757,0.0868,0.0757,0.0868,7.283
1777126910.5456128,1293,295,0.0757,0.0868,0.0757,0.0868,7.360
1777126910.6280239,1293,295,0.0757,0.0868,0.0757,0.0868,7.442
1777126910.7391853,1293,295,0.0757,0.0868,0.0757,0.0868,7.553
1777126910.8599925,1293,295,0.0757,0.0868,0.0757,0.0868,7.674
1777126910.9480603,1293,295,0.0757,0.0868,0.0757,0.0868,7.762
1777126911.0297616,1293,295,0.0757,0.0868,0.0757,0.0868,7.844
1777126911.1144848,1293,295,0.0757,0.0868,0.0757,0.0868,7.928
1777126911.1855247,1293,295,0.0757,0.0868,0.0757,0.0868,7.999
1777126911.2604492,1293,295,0.0757,0.0868,0.0757,0.0868,8.074
1777126911.332535,1293,295,0.0757,0.0868,0.0757,0.0868,8.146
1777126911.4027886,1293,295,0.0757,0.0868,0.0757,0.0868,8.217
1777126911.4785416,1293,295,0.0757,0.0868,0.0757,0.0868,8.292
1777126911.5564125,1293,295,0.0757,0.0868,0.0757,0.0868,8.370
1777126911.6333432,1293,295,0.0757,0.0868,0.0757,0.0868,8.447
1777126911.707266,1293,295,0.0757,0.0868,0.0757,0.0868,8.521
1777126911.7794387,1293,295,0.0757,0.0868,0.0757,0.0868,8.593
1777126911.8532083,1293,295,0.0757,0.0868,0.0757,0.0868,8.667
1777126911.9295971,1293,295,0.0757,0.0868,0.0757,0.0868,8.744
1777126912.0076892,1293,295,0.0757,0.0868,0.0757,0.0868,8.822
1777126912.0778115,1293,295,0.0757,0.0868,0.0757,0.0868,8.892
1777126912.1517155,1293,295,0.0757,0.0868,0.0757,0.0868,8.966
1777126912.2225595,1293,295,0.0757,0.0868,0.0757,0.0868,9.036
1777126912.2965877,1293,295,0.0757,0.0868,0.0757,0.0868,9.111
1777126912.367224,1293,295,0.0757,0.0868,0.0757,0.0868,9.181
1777126912.4414465,1293,295,0.0757,0.0868,0.0757,0.0868,9.255
1777126912.5173893,1293,295,0.0757,0.0868,0.0757,0.0868,9.331
1777126912.5868354,1293,295,0.0757,0.0868,0.0757,0.0868,9.401
1777126912.6574473,1293,295,0.0757,0.0868,0.0757,0.0868,9.471
1777126912.727474,1293,295,0.0757,0.0868,0.0757,0.0868,9.541
1777126912.8151944,1293,295,0.0757,0.0868,0.0757,0.0868,9.629
1777126912.8868108,1293,295,0.0757,0.0868,0.0757,0.0868,9.701
1777126912.959914,1293,295,0.0757,0.0868,0.0757,0.0868,9.774
1777126913.0349736,1293,295,0.0757,0.0868,0.0757,0.0868,9.849
1777126913.1070428,1293,295,0.0757,0.0868,0.0757,0.0868,9.921
1777126913.1794016,1293,295,0.0757,0.0868,0.0757,0.0868,9.993
1777126913.2562368,1293,295,0.0757,0.0868,0.0757,0.0868,10.070
1777126913.326252,1293,295,0.0757,0.0868,0.0757,0.0868,10.140
1777126913.3950748,1293,295,0.0757,0.0868,0.0757,0.0868,10.209
1777126913.4655218,1293,295,0.0757,0.0868,0.0757,0.0868,10.279
1777126913.5349355,1293,295,0.0757,0.0868,0.0757,0.0868,10.349
1777126913.6063364,1293,295,0.0757,0.0868,0.0757,0.0868,10.420
1777126913.6812763,1293,295,0.0757,0.0868,0.0757,0.0868,10.495
1777126913.755324,1293,295,0.0757,0.0868,0.0757,0.0868,10.569
1777126913.8271852,1293,295,0.0757,0.0868,0.0757,0.0868,10.641
1777126913.9042525,1293,295,0.0757,0.0868,0.0757,0.0868,10.718
1777126913.983882,1293,295,0.0757,0.0868,0.0757,0.0868,10.798
1777126914.062539,1293,295,0.0757,0.0868,0.0757,0.0868,10.876
1777126914.1359835,1293,295,0.0757,0.0868,0.0757,0.0868,10.950
1777126914.205358,1293,295,0.0757,0.0868,0.0757,0.0868,11.019
1777126914.2774088,1293,295,0.0757,0.0868,0.0757,0.0868,11.091
1777126914.3570323,1293,295,0.0757,0.0868,0.0757,0.0868,11.171
1777126914.4341872,1293,295,0.0757,0.0868,0.0757,0.0868,11.248
1777126914.5062096,1293,295,0.0757,0.0868,0.0757,0.0868,11.320
1777126914.5760548,1293,295,0.0757,0.0868,0.0757,0.0868,11.390
1777126914.656732,1293,295,0.0757,0.0868,0.0757,0.0868,11.471
1777126914.7294004,1293,295,0.0757,0.0868,0.0757,0.0868,11.543
1777126914.7995925,1293,295,0.0757,0.0868,0.0757,0.0868,11.614
1777126914.8743114,1293,295,0.0757,0.0868,0.0757,0.0868,11.688
1777126914.9460144,1293,295,0.0757,0.0868,0.0757,0.0868,11.760
1777126915.020193,1293,295,0.0757,0.0868,0.0757,0.0868,11.834
1777126915.0966725,1293,295,0.0757,0.0868,0.0757,0.0868,11.911
1777126915.1652958,1293,295,0.0757,0.0868,0.0757,0.0868,11.979
1777126915.2366652,1293,295,0.0757,0.0868,0.0757,0.0868,12.051
1777126915.3058975,1293,295,0.0757,0.0868,0.0757,0.0868,12.120
1777126915.3744845,1293,295,0.0757,0.0868,0.0757,0.0868,12.188
1777126915.4494824,1293,295,0.0757,0.0868,0.0757,0.0868,12.263
1777126915.520989,1293,295,0.0757,0.0868,0.0757,0.0868,12.335
1777126915.5959818,1293,295,0.0757,0.0868,0.0757,0.0868,12.410
1777126915.675471,1293,295,0.0757,0.0868,0.0728,0.0870,12.489
1777126915.7435338,1293,295,0.0757,0.0868,0.0841,0.0861,12.557
1777126915.8170729,1293,295,0.1086,0.0841,0.1001,0.0848,12.631
1777126915.8877308,1293,295,0.1086,0.0841,0.1114,0.0839,12.702
1777126915.9565408,1293,295,0.1086,0.0841,0.1086,0.0841,12.770
1777126916.0279727,1293,295,0.1086,0.0841,0.1086,0.0841,12.842
1777126916.0992682,1293,295,0.1086,0.0841,0.1086,0.0841,12.913
1777126916.166843,1293,295,0.1086,0.0841,0.1086,0.0841,12.981
1777126916.2415996,1293,295,0.1086,0.0841,0.1086,0.0841,13.056
1777126916.311847,1293,295,0.1086,0.0841,0.1086,0.0841,13.126
1777126916.3883636,1293,295,0.1086,0.0841,0.1086,0.0841,13.202
1777126916.4625804,1293,295,0.1086,0.0841,0.1086,0.0841,13.277
1777126916.5326412,1293,295,0.1086,0.0841,0.1086,0.0841,13.347
1777126916.6071243,1293,295,0.1086,0.0841,0.1086,0.0841,13.421
1777126916.6770325,1293,295,0.1086,0.0841,0.1086,0.0841,13.491
1777126916.7468278,1293,295,0.1086,0.0841,0.1086,0.0841,13.561
1777126916.8205955,1293,295,0.1086,0.0841,0.1086,0.0841,13.635
1777126916.893196,1293,295,0.1086,0.0841,0.1086,0.0841,13.707
1777126916.969579,1293,295,0.1086,0.0841,0.1086,0.0841,13.784
1777126917.0382855,1293,295,0.1086,0.0841,0.1086,0.0841,13.852
1777126917.1094334,1293,295,0.1086,0.0841,0.1086,0.0841,13.923
1777126917.1851225,1293,295,0.1086,0.0841,0.1086,0.0841,13.999
1777126917.2565134,1293,295,0.1086,0.0841,0.1086,0.0841,14.070
1777126917.3310287,1293,295,0.1086,0.0841,0.1086,0.0841,14.145
1777126917.4069123,1293,295,0.1086,0.0841,0.1086,0.0841,14.221
1777126917.4780855,1293,295,0.1086,0.0841,0.1086,0.0841,14.292
1777126917.5534456,1293,295,0.1086,0.0841,0.1086,0.0841,14.367
1777126917.6235547,1293,295,0.1086,0.0841,0.1086,0.0841,14.437
1777126917.701516,1293,295,0.1086,0.0841,0.1086,0.0841,14.515
1777126917.7747116,1293,295,0.1086,0.0841,0.1086,0.0841,14.589
1777126917.846369,1293,295,0.1086,0.0841,0.1086,0.0841,14.660
1777126917.9202812,1293,295,0.1086,0.0841,0.1086,0.0841,14.734
1777126917.9966156,1293,295,0.1086,0.0841,0.1086,0.0841,14.811
1777126918.065696,1293,295,0.1086,0.0841,0.1086,0.0841,14.880
1777126918.1333153,1293,295,0.1086,0.0841,0.1086,0.0841,14.947
1777126918.204011,1293,295,0.1086,0.0841,0.1086,0.0841,15.018
1777126918.2746434,1293,295,0.1086,0.0841,0.1086,0.0841,15.089
1777126918.344404,1293,295,0.1086,0.0841,0.1086,0.0841,15.158
1777126918.4205043,1293,295,0.1086,0.0841,0.1086,0.0841,15.234
1777126918.4963334,1293,295,0.1086,0.0841,0.1086,0.0841,15.310
1777126918.5662744,1293,295,0.1086,0.0841,0.1086,0.0841,15.380
1777126918.6480532,1293,295,0.1086,0.0841,0.1086,0.0841,15.462
1777126918.7427835,1293,295,0.1086,0.0841,0.1086,0.0841,15.557
1777126918.8374825,1293,295,0.1086,0.0841,0.1086,0.0841,15.651
1777126918.910005,1293,295,0.1086,0.0841,0.1086,0.0841,15.724
1777126918.9833229,1293,295,0.1086,0.0841,0.1086,0.0841,15.797
1777126919.0658638,1293,295,0.1086,0.0841,0.1086,0.0841,15.880
1777126919.1374147,1293,295,0.1086,0.0841,0.1086,0.0841,15.951
1777126919.2143388,1293,295,0.1086,0.0841,0.1086,0.0841,16.028
1777126919.2820227,1293,295,0.1086,0.0841,0.1086,0.0841,16.096
1777126919.356811,1293,295,0.1086,0.0841,0.1086,0.0841,16.171
1777126919.4273021,1293,295,0.1086,0.0841,0.1086,0.0841,16.241
1777126919.4990554,1293,295,0.1086,0.0841,0.1086,0.0841,16.313
1777126919.570071,1293,295,0.1086,0.0841,0.1086,0.0841,16.384
1777126919.6457381,1293,295,0.1086,0.0841,0.1086,0.0841,16.460
1777126919.7251363,1293,295,0.1086,0.0841,0.1086,0.0841,16.539
1777126919.8105159,1293,295,0.1086,0.0841,0.1089,0.0841,16.624
1777126919.8914328,1293,295,0.1086,0.0841,0.1077,0.0841,16.705
1777126919.9641492,1294,295,0.1052,0.0841,0.1061,0.0841,16.778
1777126920.0383797,1294,295,0.1052,0.0841,0.1049,0.0841,16.852
1777126920.1135051,1294,295,0.1052,0.0841,0.1052,0.0841,16.927
1777126920.1923184,1294,295,0.1052,0.0841,0.1052,0.0841,17.006
1777126920.268794,1294,295,0.1052,0.0841,0.1052,0.0841,17.083
1777126920.3390374,1294,295,0.1052,0.0841,0.1052,0.0841,17.153
1777126920.4171324,1294,295,0.1052,0.0841,0.1052,0.0841,17.231
1777126920.4872873,1294,295,0.1052,0.0841,0.1052,0.0841,17.301
1777126920.557062,1294,295,0.1052,0.0841,0.1052,0.0841,17.371
1777126920.6312318,1294,295,0.1052,0.0841,0.1052,0.0841,17.445
1777126920.7014658,1294,295,0.1052,0.0841,0.1052,0.0841,17.515
1777126920.7763524,1294,295,0.1052,0.0841,0.1052,0.0841,17.590
1777126920.8524725,1294,295,0.1052,0.0841,0.1052,0.0841,17.666
1777126920.92393,1294,295,0.1052,0.0841,0.1052,0.0841,17.738
1777126920.9950638,1294,295,0.1052,0.0841,0.1052,0.0841,17.809
1777126921.0664392,1294,295,0.1052,0.0841,0.1052,0.0841,17.880
1777126921.1408794,1294,295,0.1052,0.0841,0.1052,0.0841,17.955
1777126921.21454,1294,295,0.1052,0.0841,0.1052,0.0841,18.028
1777126921.2946923,1294,295,0.1052,0.0841,0.1052,0.0841,18.109
1777126921.366349,1294,295,0.1052,0.0841,0.1052,0.0841,18.180
1777126921.4433987,1294,295,0.1052,0.0841,0.1052,0.0841,18.257
1777126921.5153255,1294,295,0.1052,0.0841,0.1052,0.0841,18.329
1777126921.5865357,1294,295,0.1052,0.0841,0.1116,0.0902,18.400
1777126921.6627917,1294,295,0.1052,0.0841,0.0859,0.0658,18.477
1777126921.7291727,1293,295,0.0301,0.0130,0.0494,0.0313,18.543
1777126921.8017654,1293,295,0.0301,0.0130,0.0236,0.0069,18.616
1777126921.869366,1293,295,0.0301,0.0130,0.0301,0.0130,18.683
1777126921.941246,1293,295,0.0301,0.0130,0.0301,0.0130,18.755
1777126922.0133698,1293,295,0.0301,0.0130,0.0301,0.0130,18.827
1777126922.0841832,1293,295,0.0301,0.0130,0.0301,0.0130,18.898
1777126922.151854,1293,295,0.0301,0.0130,0.0301,0.0130,18.966
1777126922.2183337,1293,295,0.0301,0.0130,0.0301,0.0130,19.032
1777126922.2841077,1293,295,0.0301,0.0130,0.0301,0.0130,19.098
1777126922.3517516,1293,295,0.0301,0.0130,0.0301,0.0130,19.166
1777126922.4190242,1293,295,0.0301,0.0130,0.0301,0.0130,19.233
1777126922.487245,1293,295,0.0301,0.0130,0.0301,0.0130,19.301
1777126922.555603,1293,295,0.0301,0.0130,0.0301,0.0130,19.370
1777126922.6267254,1293,295,0.0301,0.0130,0.0301,0.0130,19.441
1777126922.7014024,1293,295,0.0301,0.0130,0.0301,0.0130,19.515
1777126922.7686186,1293,295,0.0301,0.0130,0.0301,0.0130,19.583
1777126922.8436239,1293,295,0.0301,0.0130,0.0301,0.0130,19.658
1777126922.9108539,1293,295,0.0301,0.0130,0.0301,0.0130,19.725
1777126922.9775105,1293,295,0.0301,0.0130,0.0301,0.0130,19.791
1777126923.044145,1293,295,0.0301,0.0130,0.0301,0.0130,19.858
1777126923.1114619,1293,295,0.0301,0.0130,0.0301,0.0130,19.925
1777126923.1774068,1293,295,0.0301,0.0130,0.0301,0.0130,19.991
1777126923.2450438,1293,295,0.0301,0.0130,0.0301,0.0130,20.059
1777126923.311355,1293,295,0.0301,0.0130,0.0301,0.0130,20.125
1777126923.3784003,1293,295,0.0301,0.0130,0.0301,0.0130,20.192
1777126923.4450836,1293,295,0.0301,0.0130,0.0301,0.0130,20.259
1777126923.513886,1293,295,0.0301,0.0130,0.0301,0.0130,20.328
1777126923.582084,1293,295,0.0301,0.0130,0.0301,0.0130,20.396
1777126923.655451,1293,295,0.0301,0.0130,0.0301,0.0130,20.469
1777126923.7266366,1293,295,0.0301,0.0130,0.0301,0.0130,20.541
1777126923.7972262,1293,295,0.0301,0.0130,0.0301,0.0130,20.611
1777126923.8639166,1293,295,0.0301,0.0130,0.0301,0.0130,20.678
1777126923.9372993,1293,295,0.0301,0.0130,0.0301,0.0130,20.751
1777126924.0061789,1293,295,0.0301,0.0130,0.0301,0.0130,20.820
1777126924.0783532,1293,295,0.0301,0.0130,0.0301,0.0130,20.892
1777126924.1443655,1293,295,0.0301,0.0130,0.0301,0.0130,20.958
1777126924.2105715,1293,295,0.0301,0.0130,0.0301,0.0130,21.025
1777126924.2833824,1293,295,0.0301,0.0130,0.0301,0.0130,21.097
1777126924.3549006,1293,295,0.0301,0.0130,0.0301,0.0130,21.169
1777126924.4264963,1293,295,0.0301,0.0130,0.0301,0.0130,21.240
1777126924.493576,1293,295,0.0301,0.0130,0.0301,0.0130,21.308
1777126924.5624745,1293,295,0.0301,0.0130,0.0301,0.0130,21.376
1777126924.6364152,1293,295,0.0301,0.0130,0.0301,0.0130,21.450
1777126924.702993,1293,295,0.0301,0.0130,0.0301,0.0130,21.517
1777126924.7739618,1293,295,0.0301,0.0130,0.0301,0.0130,21.588
1777126924.844506,1293,295,0.0301,0.0130,0.0301,0.0130,21.658
1777126924.9144306,1293,295,0.0301,0.0130,0.0301,0.0130,21.728
1777126924.9862776,1293,295,0.0301,0.0130,0.0301,0.0130,21.800
1777126925.056937,1293,295,0.0301,0.0130,0.0301,0.0130,21.871
1777126925.123133,1293,295,0.0301,0.0130,0.0301,0.0130,21.937
1777126925.194845,1293,295,0.0301,0.0130,0.0301,0.0130,22.009
1777126925.2634778,1293,295,0.0301,0.0130,0.0301,0.0130,22.077
1777126925.339155,1293,295,0.0301,0.0130,0.0301,0.0130,22.153
1777126925.4113555,1293,295,0.0301,0.0130,0.0301,0.0130,22.225
1777126925.4831905,1293,295,0.0301,0.0130,0.0301,0.0130,22.297
1777126925.554109,1293,295,0.0301,0.0130,0.0301,0.0130,22.368
1777126925.621071,1293,295,0.0301,0.0130,0.0301,0.0130,22.435
1777126925.6892412,1293,295,0.0301,0.0130,0.0301,0.0130,22.503
1777126925.7551594,1293,295,0.0301,0.0130,0.0301,0.0130,22.569
1777126925.8225114,1293,295,0.0301,0.0130,0.0301,0.0130,22.636
1777126925.8883932,1293,295,0.0301,0.0130,0.0301,0.0130,22.702
1777126925.9547606,1293,295,0.0301,0.0130,0.0301,0.0130,22.769
1777126926.0207562,1293,295,0.0301,0.0130,0.0301,0.0130,22.835
1777126926.0878708,1293,295,0.0301,0.0130,0.0301,0.0130,22.902
1777126926.1569746,1293,295,0.0301,0.0130,0.0301,0.0130,22.971
1777126926.2295077,1293,295,0.0301,0.0130,0.0301,0.0130,23.043
1777126926.3011515,1293,295,0.0301,0.0130,0.0301,0.0130,23.115
1777126926.367212,1293,295,0.0301,0.0130,0.0301,0.0130,23.181
1777126926.433957,1293,295,0.0301,0.0130,0.0301,0.0130,23.248
1777126926.500246,1293,295,0.0301,0.0130,0.0301,0.0130,23.314
1777126926.5778491,1293,295,0.0301,0.0130,0.0301,0.0130,23.392
1777126926.6446073,1293,295,0.0301,0.0130,0.0301,0.0130,23.459
1777126926.7106926,1293,295,0.0301,0.0130,0.0405,0.0200,23.525
1777126926.7781951,1293,295,0.0301,0.0130,-0.0010,-0.0080,23.592
1777126926.848618,1293,295,-0.0909,-0.0686,-0.0598,-0.0476,23.663
1777126926.918725,1293,295,-0.0909,-0.0686,-0.1013,-0.0755,23.733
1777126926.9879298,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,23.802
1777126927.0579078,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,23.872
1777126927.1318827,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,23.946
1777126927.202303,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,24.016
1777126927.2716358,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,24.086
1777126927.342035,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,24.156
1777126927.4117455,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,24.226
1777126927.4818769,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,24.296
1777126927.552,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,24.366
1777126927.6228964,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,24.437
1777126927.6936958,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,24.508
1777126927.7686048,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,24.583
1777126927.846,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,24.660
1777126927.9162788,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,24.730
1777126927.990567,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,24.805
1777126928.0756261,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,24.890
1777126928.1545138,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,24.968
1777126928.2316911,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,25.046
1777126928.3013823,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,25.115
1777126928.3710759,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,25.185
1777126928.4384494,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,25.252
1777126928.5081677,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,25.322
1777126928.5835814,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,25.398
1777126928.6602576,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,25.474
1777126928.7302012,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,25.544
1777126928.8050194,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,25.619
1777126928.8802216,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,25.694
1777126928.9526138,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,25.767
1777126929.0319345,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,25.846
1777126929.1151123,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,25.929
1777126929.1858084,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,26.000
1777126929.262738,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,26.077
1777126929.334951,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,26.149
1777126929.4098628,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,26.224
1777126929.4822693,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,26.296
1777126929.5593011,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,26.373
1777126929.6386023,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,26.453
1777126929.7161999,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,26.530
1777126929.7918048,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,26.606
1777126929.8652525,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,26.679
1777126929.9346623,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,26.749
1777126930.0098364,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,26.824
1777126930.0850177,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,26.899
1777126930.1553912,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,26.969
1777126930.2272651,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,27.041
1777126930.3086414,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,27.123
1777126930.3840404,1293,295,-0.0909,-0.0686,-0.0909,-0.0686,27.198
